snapshot_date,tier_min,tier_max,holders,shares,pct
2026-04-30,1,999,250370.0,22669680.0,1.41
2026-04-30,1000,5000,36649.0,61208927.0,3.81
2026-04-30,5001,10000,2621.0,19224337.0,1.19
2026-04-30,10001,15000,902.0,11262576.0,0.7
2026-04-30,15001,20000,515.0,9143096.0,0.57
2026-04-30,20001,30000,502.0,12493651.0,0.77
2026-04-30,30001,40000,300.0,10572132.0,0.65
2026-04-30,40001,50000,225.0,10150360.0,0.63
2026-04-30,50001,100000,647.0,46925859.0,2.92
2026-04-30,100001,200000,469.0,67594339.0,4.21
2026-04-30,200001,400000,336.0,94892881.0,5.91
2026-04-30,400001,600000,139.0,68226720.0,4.25
2026-04-30,600001,800000,70.0,48673829.0,3.03
2026-04-30,800001,1000000,48.0,43034838.0,2.68
2026-04-30,1000001,1000000000000,238.0,1077831065.0,67.2
2026-05-08,1,999,289402.0,23145053.0,1.44
2026-05-08,1000,5000,36195.0,60360034.0,3.76
2026-05-08,5001,10000,2572.0,18882116.0,1.17
2026-05-08,10001,15000,920.0,11504168.0,0.71
2026-05-08,15001,20000,514.0,9172876.0,0.57
2026-05-08,20001,30000,532.0,13278626.0,0.82
2026-05-08,30001,40000,300.0,10566436.0,0.65
2026-05-08,40001,50000,223.0,10098989.0,0.62
2026-05-08,50001,100000,674.0,48848932.0,3.04
2026-05-08,100001,200000,469.0,67727231.0,4.22
2026-05-08,200001,400000,344.0,97789938.0,6.09
2026-05-08,400001,600000,138.0,67641647.0,4.21
2026-05-08,600001,800000,65.0,45220764.0,2.81
2026-05-08,800001,1000000,46.0,40927418.0,2.55
2026-05-08,1000001,1000000000000,238.0,1078741062.0,67.25
2026-05-15,1,999,328022.0,25037340.0,1.56
2026-05-15,1000,5000,37197.0,62132919.0,3.87
2026-05-15,5001,10000,2639.0,19332061.0,1.2
2026-05-15,10001,15000,922.0,11549608.0,0.72
2026-05-15,15001,20000,534.0,9502060.0,0.59
2026-05-15,20001,30000,542.0,13506510.0,0.84
2026-05-15,30001,40000,300.0,10569488.0,0.65
2026-05-15,40001,50000,231.0,10411270.0,0.64
2026-05-15,50001,100000,681.0,49135199.0,3.06
2026-05-15,100001,200000,473.0,68439563.0,4.26
2026-05-15,200001,400000,335.0,95244978.0,5.93
2026-05-15,400001,600000,142.0,70068175.0,4.36
2026-05-15,600001,800000,58.0,40445360.0,2.52
2026-05-15,800001,1000000,44.0,39518022.0,2.46
2026-05-15,1000001,1000000000000,237.0,1079002854.0,67.27
2026-05-22,1,999,338926.0,25887030.0,1.61
2026-05-22,1000,5000,37788.0,63041138.0,3.93
2026-05-22,5001,10000,2692.0,19773400.0,1.23
2026-05-22,10001,15000,933.0,11719931.0,0.73
2026-05-22,15001,20000,527.0,9388514.0,0.58
2026-05-22,20001,30000,550.0,13648160.0,0.85
2026-05-22,30001,40000,300.0,10537341.0,0.65
2026-05-22,40001,50000,243.0,11009058.0,0.68
