snapshot_date,tier_min,tier_max,holders,shares,pct
2026-04-30,1,999,1133710.0,328623017.0,1.78
2026-04-30,1000,5000,1075061.0,2457121325.0,13.33
2026-04-30,5001,10000,267209.0,1971836486.0,10.69
2026-04-30,10001,15000,106369.0,1318394554.0,7.15
2026-04-30,15001,20000,59926.0,1061175087.0,5.75
2026-04-30,20001,30000,54189.0,1338177715.0,7.26
2026-04-30,30001,40000,26388.0,925039393.0,5.01
2026-04-30,40001,50000,14475.0,655355641.0,3.55
2026-04-30,50001,100000,24299.0,1671555223.0,9.07
2026-04-30,100001,200000,7734.0,1045498455.0,5.67
2026-04-30,200001,400000,2135.0,571618523.0,3.1
2026-04-30,400001,600000,386.0,186567183.0,1.01
2026-04-30,600001,800000,123.0,84861210.0,0.46
2026-04-30,800001,1000000,51.0,46261957.0,0.25
2026-04-30,1000001,1000000000000,237.0,4766936199.0,25.86
2026-05-08,1,999,1161435.0,334544310.0,1.8
2026-05-08,1000,5000,1086267.0,2478980527.0,13.4
2026-05-08,5001,10000,269109.0,1985761214.0,10.73
2026-05-08,10001,15000,106995.0,1325731665.0,7.16
2026-05-08,15001,20000,60111.0,1064440749.0,5.75
2026-05-08,20001,30000,54535.0,1346202942.0,7.27
2026-05-08,30001,40000,26510.0,929409028.0,5.02
2026-05-08,40001,50000,14530.0,657729754.0,3.55
2026-05-08,50001,100000,24453.0,1682617597.0,9.09
2026-05-08,100001,200000,7798.0,1054664249.0,5.7
2026-05-08,200001,400000,2170.0,582173184.0,3.14
2026-05-08,400001,600000,391.0,189265696.0,1.02
2026-05-08,600001,800000,127.0,87335242.0,0.47
2026-05-08,800001,1000000,54.0,48933162.0,0.26
2026-05-08,1000001,1000000000000,235.0,4728218281.0,25.56
2026-05-15,1,999,1199984.0,342906737.0,1.84
2026-05-15,1000,5000,1107130.0,2523687377.0,13.57
2026-05-15,5001,10000,273274.0,2015950893.0,10.84
2026-05-15,10001,15000,108751.0,1347549217.0,7.24
2026-05-15,15001,20000,60746.0,1075397110.0,5.78
2026-05-15,20001,30000,55212.0,1362574261.0,7.32
2026-05-15,30001,40000,26782.0,938501522.0,5.04
2026-05-15,40001,50000,14715.0,666032419.0,3.58
2026-05-15,50001,100000,24670.0,1695960575.0,9.11
2026-05-15,100001,200000,7853.0,1060749438.0,5.7
2026-05-15,200001,400000,2181.0,585631679.0,3.14
2026-05-15,400001,600000,387.0,187474485.0,1.0
2026-05-15,600001,800000,126.0,86883023.0,0.46
2026-05-15,800001,1000000,52.0,47191021.0,0.25
2026-05-15,1000001,1000000000000,235.0,4660531243.0,25.06
2026-05-22,1,999,1227752.0,349995822.0,1.85
2026-05-22,1000,5000,1121696.0,2558111747.0,13.58
2026-05-22,5001,10000,277730.0,2046991299.0,10.86
2026-05-22,10001,15000,110807.0,1372594777.0,7.28
2026-05-22,15001,20000,61704.0,1092394864.0,5.79
2026-05-22,20001,30000,56195.0,1386976957.0,7.36
2026-05-22,30001,40000,27233.0,954429853.0,5.06
2026-05-22,40001,50000,14889.0,673878702.0,3.57
2026-05-22,50001,100000,25014.0,1718627204.0,9.12
2026-05-22,100001,200000,8012.0,1080541563.0,5.73
2026-05-22,200001,400000,2218.0,594687808.0,3.15
2026-05-22,400001,600000,388.0,187317945.0,0.99
2026-05-22,600001,800000,135.0,92956089.0,0.49
2026-05-22,800001,1000000,53.0,47712546.0,0.25
2026-05-22,1000001,1000000000000,236.0,4679293665.0,24.84
2026-05-29,1,999,1244873.0,352345343.0,1.84
2026-05-29,1000,5000,1126545.0,2564761963.0,13.42
2026-05-29,5001,10000,278070.0,2049617821.0,10.73
2026-05-29,10001,15000,110870.0,1373284634.0,7.19
2026-05-29,15001,20000,61645.0,1091238082.0,5.71
2026-05-29,20001,30000,56289.0,1389362148.0,7.27
2026-05-29,30001,40000,27233.0,954418755.0,4.99
2026-05-29,40001,50000,14999.0,678739083.0,3.55
2026-05-29,50001,100000,25074.0,1723239816.0,9.02
2026-05-29,100001,200000,7993.0,1077886803.0,5.64
2026-05-29,200001,400000,2205.0,591417771.0,3.09
2026-05-29,400001,600000,393.0,190067551.0,0.99
2026-05-29,600001,800000,129.0,88645822.0,0.46
2026-05-29,800001,1000000,61.0,54845833.0,0.28
2026-05-29,1000001,1000000000000,236.0,4919133575.0,25.75
2026-06-05,1,999,1273883.0,357619583.0,1.85
2026-06-05,1000,5000,1143361.0,2597506954.0,13.47
2026-06-05,5001,10000,281301.0,2074008831.0,10.76
2026-06-05,10001,15000,111911.0,1386330011.0,7.19
2026-06-05,15001,20000,62025.0,1098342922.0,5.69
2026-06-05,20001,30000,56768.0,1400948008.0,7.26
2026-06-05,30001,40000,27435.0,961359528.0,4.98
2026-06-05,40001,50000,15218.0,688759185.0,3.57
2026-06-05,50001,100000,25236.0,1736576366.0,9.01
2026-06-05,100001,200000,8079.0,1090286871.0,5.65
2026-06-05,200001,400000,2209.0,592735685.0,3.07
2026-06-05,400001,600000,388.0,188538841.0,0.97
2026-06-05,600001,800000,125.0,86355617.0,0.44
2026-06-05,800001,1000000,63.0,56727997.0,0.29
2026-06-05,1000001,1000000000000,241.0,4956907733.0,25.71
2026-06-12,1,999,1351068.0,378872559.0,1.88
2026-06-12,1000,5000,1204634.0,2732410411.0,13.56
2026-06-12,5001,10000,294579.0,2169814022.0,10.77
2026-06-12,10001,15000,117378.0,1454516674.0,7.22
2026-06-12,15001,20000,64389.0,1139255015.0,5.65
2026-06-12,20001,30000,59072.0,1456796026.0,7.23
2026-06-12,30001,40000,28553.0,1000155973.0,4.96
2026-06-12,40001,50000,15707.0,710160358.0,3.52
2026-06-12,50001,100000,26116.0,1793900975.0,8.9
2026-06-12,100001,200000,8332.0,1120211663.0,5.56
2026-06-12,200001,400000,2261.0,605950744.0,3.0
2026-06-12,400001,600000,397.0,192187799.0,0.95
2026-06-12,600001,800000,131.0,90621615.0,0.45
2026-06-12,800001,1000000,61.0,54804531.0,0.27
2026-06-12,1000001,1000000000000,246.0,5238434635.0,26.01
2026-06-18,1,999,1366048.0,380927847.0,1.86
2026-06-18,1000,5000,1198242.0,2717853784.0,13.31
2026-06-18,5001,10000,293342.0,2160259959.0,10.58
2026-06-18,10001,15000,117074.0,1450439421.0,7.1
2026-06-18,15001,20000,64134.0,1134841963.0,5.55
2026-06-18,20001,30000,58991.0,1454909530.0,7.12
2026-06-18,30001,40000,28518.0,998784317.0,4.89
2026-06-18,40001,50000,15704.0,710113132.0,3.47
2026-06-18,50001,100000,26102.0,1793642115.0,8.78
2026-06-18,100001,200000,8369.0,1125446974.0,5.51
2026-06-18,200001,400000,2258.0,605888466.0,2.96
2026-06-18,400001,600000,396.0,191342608.0,0.93
2026-06-18,600001,800000,138.0,95126392.0,0.46
2026-06-18,800001,1000000,58.0,52346584.0,0.25
2026-06-18,1000001,1000000000000,248.0,5546076908.0,27.16
2026-06-26,1,999,1393067.0,387414610.0,1.89
2026-06-26,1000,5000,1221223.0,2766696117.0,13.5
2026-06-26,5001,10000,297588.0,2191807970.0,10.69
2026-06-26,10001,15000,118870.0,1472289887.0,7.18
2026-06-26,15001,20000,65152.0,1152647750.0,5.62
2026-06-26,20001,30000,59845.0,1475818968.0,7.2
2026-06-26,30001,40000,28975.0,1014676289.0,4.95
2026-06-26,40001,50000,16014.0,724227945.0,3.53
2026-06-26,50001,100000,26396.0,1814732682.0,8.85
2026-06-26,100001,200000,8506.0,1143618454.0,5.58
2026-06-26,200001,400000,2265.0,607096590.0,2.96
2026-06-26,400001,600000,404.0,195127906.0,0.95
2026-06-26,600001,800000,136.0,93945436.0,0.45
2026-06-26,800001,1000000,61.0,55248093.0,0.26
2026-06-26,1000001,1000000000000,246.0,5390155483.0,26.31
2026-07-03,1,999,1409008.0,392551776.0,1.89
2026-07-03,1000,5000,1231519.0,2792116722.0,13.45
2026-07-03,5001,10000,301316.0,2218816129.0,10.69
2026-07-03,10001,15000,120492.0,1492328998.0,7.19
2026-07-03,15001,20000,66067.0,1168748238.0,5.63
2026-07-03,20001,30000,60633.0,1496088503.0,7.2
2026-07-03,30001,40000,29310.0,1026254355.0,4.94
2026-07-03,40001,50000,16206.0,732833707.0,3.53
2026-07-03,50001,100000,26747.0,1838909129.0,8.86
2026-07-03,100001,200000,8625.0,1159719592.0,5.58
2026-07-03,200001,400000,2280.0,610880956.0,2.94
2026-07-03,400001,600000,413.0,199179632.0,0.95
2026-07-03,600001,800000,137.0,94754236.0,0.45
2026-07-03,800001,1000000,64.0,58054776.0,0.27
2026-07-03,1000001,1000000000000,246.0,5473294071.0,26.37
2026-07-09,1,999,1429156.0,399133356.0,1.91
2026-07-09,1000,5000,1244036.0,2819995679.0,13.51
2026-07-09,5001,10000,304225.0,2239445898.0,10.73
2026-07-09,10001,15000,121840.0,1508884272.0,7.22
2026-07-09,15001,20000,66669.0,1179316986.0,5.65
2026-07-09,20001,30000,61152.0,1508532182.0,7.22
2026-07-09,30001,40000,29592.0,1035835782.0,4.96
2026-07-09,40001,50000,16337.0,738677283.0,3.53
2026-07-09,50001,100000,26982.0,1854159302.0,8.88
2026-07-09,100001,200000,8692.0,1167843227.0,5.59
2026-07-09,200001,400000,2299.0,615299607.0,2.94
2026-07-09,400001,600000,420.0,202510165.0,0.97
2026-07-09,600001,800000,137.0,94952228.0,0.45
2026-07-09,800001,1000000,67.0,60551259.0,0.29
2026-07-09,1000001,1000000000000,246.0,5444862774.0,26.08
2026-07-17,1,999,1451901.0,407745860.0,1.93
2026-07-17,1000,5000,1258079.0,2853333232.0,13.54
2026-07-17,5001,10000,308302.0,2268680747.0,10.76
2026-07-17,10001,15000,123626.0,1530510576.0,7.26
2026-07-17,15001,20000,67603.0,1195459296.0,5.67
2026-07-17,20001,30000,62001.0,1529229905.0,7.25
2026-07-17,30001,40000,29966.0,1048765332.0,4.97
2026-07-17,40001,50000,16567.0,748823370.0,3.55
2026-07-17,50001,100000,27239.0,1872578384.0,8.88
2026-07-17,100001,200000,8776.0,1178573003.0,5.59
2026-07-17,200001,400000,2315.0,620940902.0,2.94
2026-07-17,400001,600000,421.0,203143228.0,0.96
2026-07-17,600001,800000,139.0,96019309.0,0.45
2026-07-17,800001,1000000,64.0,58178697.0,0.27
2026-07-17,1000001,1000000000000,249.0,5460029542.0,25.91
2026-07-24,1,999,1472082.0,417868872.0,1.93
2026-07-24,1000,5000,1302312.0,2956630651.0,13.68
2026-07-24,5001,10000,320143.0,2354652133.0,10.89
2026-07-24,10001,15000,128876.0,1595678210.0,7.38
2026-07-24,15001,20000,70283.0,1242963118.0,5.75
2026-07-24,20001,30000,64740.0,1596398995.0,7.38
2026-07-24,30001,40000,31057.0,1086529633.0,5.02
2026-07-24,40001,50000,17141.0,774698827.0,3.58
2026-07-24,50001,100000,28284.0,1941630837.0,8.98
2026-07-24,100001,200000,9174.0,1231119093.0,5.69
2026-07-24,200001,400000,2370.0,636707234.0,2.94
2026-07-24,400001,600000,434.0,209562836.0,0.96
2026-07-24,600001,800000,138.0,95761730.0,0.44
2026-07-24,800001,1000000,58.0,52264854.0,0.24
2026-07-24,1000001,1000000000000,263.0,5412032977.0,25.05
2026-07-31,1,999,1495932.0,432117035.0,1.93
2026-07-31,1000,5000,1358803.0,3095299802.0,13.88
2026-07-31,5001,10000,336947.0,2477734115.0,11.11
2026-07-31,10001,15000,135891.0,1683333202.0,7.54
2026-07-31,15001,20000,73930.0,1306655452.0,5.85
2026-07-31,20001,30000,68425.0,1686549150.0,7.56
2026-07-31,30001,40000,32670.0,1142419959.0,5.12
2026-07-31,40001,50000,17997.0,812659957.0,3.64
2026-07-31,50001,100000,29668.0,2034555473.0,9.12
2026-07-31,100001,200000,9587.0,1286665162.0,5.77
2026-07-31,200001,400000,2481.0,666425601.0,2.98
2026-07-31,400001,600000,437.0,210108489.0,0.94
2026-07-31,600001,800000,142.0,98626730.0,0.44
2026-07-31,800001,1000000,62.0,56579198.0,0.25
2026-07-31,1000001,1000000000000,273.0,5308305713.0,23.8
