snapshot_date,tier_min,tier_max,holders,shares,pct
2026-04-30,1,999,2013463.0,243104858.0,0.93
2026-04-30,1000,5000,410690.0,785731256.0,3.02
2026-04-30,5001,10000,48514.0,348192584.0,1.34
2026-04-30,10001,15000,16159.0,198545941.0,0.76
2026-04-30,15001,20000,7541.0,132699912.0,0.51
2026-04-30,20001,30000,7436.0,182171233.0,0.7
2026-04-30,30001,40000,3487.0,120956860.0,0.46
2026-04-30,40001,50000,1993.0,89784374.0,0.34
2026-04-30,50001,100000,3966.0,277028429.0,1.06
2026-04-30,100001,200000,2001.0,279927649.0,1.07
2026-04-30,200001,400000,1311.0,366558435.0,1.41
2026-04-30,400001,600000,558.0,272933328.0,1.05
2026-04-30,600001,800000,347.0,240517550.0,0.92
2026-04-30,800001,1000000,224.0,201422294.0,0.77
2026-04-30,1000001,1000000000000,1497.0,22193101818.0,85.58
2026-05-08,1,999,2046777.0,245296112.0,0.94
2026-05-08,1000,5000,411783.0,787602103.0,3.03
2026-05-08,5001,10000,48610.0,348925804.0,1.34
2026-05-08,10001,15000,16216.0,199201762.0,0.76
2026-05-08,15001,20000,7591.0,133719241.0,0.51
2026-05-08,20001,30000,7390.0,181066250.0,0.69
2026-05-08,30001,40000,3494.0,121069445.0,0.46
2026-05-08,40001,50000,2009.0,90592736.0,0.34
2026-05-08,50001,100000,3969.0,277311260.0,1.06
2026-05-08,100001,200000,2004.0,280445485.0,1.08
2026-05-08,200001,400000,1321.0,369402589.0,1.42
2026-05-08,400001,600000,550.0,269656735.0,1.03
2026-05-08,600001,800000,349.0,241733654.0,0.93
2026-05-08,800001,1000000,216.0,192910048.0,0.74
2026-05-08,1000001,1000000000000,1504.0,22193600297.0,85.58
2026-05-15,1,999,2117995.0,251879019.0,0.97
2026-05-15,1000,5000,419732.0,801717780.0,3.09
2026-05-15,5001,10000,49274.0,353552475.0,1.36
2026-05-15,10001,15000,16311.0,200277179.0,0.77
2026-05-15,15001,20000,7667.0,135028428.0,0.52
2026-05-15,20001,30000,7436.0,182140785.0,0.7
2026-05-15,30001,40000,3496.0,121230947.0,0.46
2026-05-15,40001,50000,2025.0,91313794.0,0.35
2026-05-15,50001,100000,3962.0,276948623.0,1.06
2026-05-15,100001,200000,1995.0,279070417.0,1.07
2026-05-15,200001,400000,1318.0,367796305.0,1.41
2026-05-15,400001,600000,563.0,276006678.0,1.06
2026-05-15,600001,800000,342.0,236955525.0,0.91
2026-05-15,800001,1000000,216.0,193537035.0,0.74
2026-05-15,1000001,1000000000000,1502.0,22165156531.0,85.47
2026-05-22,1,999,2150354.0,255470212.0,0.98
2026-05-22,1000,5000,423464.0,809032836.0,3.11
2026-05-22,5001,10000,49589.0,355730523.0,1.37
2026-05-22,10001,15000,16459.0,202141908.0,0.77
2026-05-22,15001,20000,7727.0,136049835.0,0.52
2026-05-22,20001,30000,7471.0,183114682.0,0.7
2026-05-22,30001,40000,3510.0,121763649.0,0.46
2026-05-22,40001,50000,2015.0,90947999.0,0.35
2026-05-22,50001,100000,3966.0,277190327.0,1.06
2026-05-22,100001,200000,1993.0,278714198.0,1.07
2026-05-22,200001,400000,1324.0,369772496.0,1.42
2026-05-22,400001,600000,565.0,276934599.0,1.06
2026-05-22,600001,800000,350.0,243073276.0,0.93
2026-05-22,800001,1000000,209.0,187127012.0,0.72
2026-05-22,1000001,1000000000000,1498.0,22145632483.0,85.39
2026-05-29,1,999,2149965.0,254881810.0,0.98
2026-05-29,1000,5000,421963.0,806563397.0,3.11
2026-05-29,5001,10000,49545.0,355498309.0,1.37
2026-05-29,10001,15000,16492.0,202611114.0,0.78
2026-05-29,15001,20000,7701.0,135570573.0,0.52
2026-05-29,20001,30000,7469.0,182878939.0,0.7
2026-05-29,30001,40000,3530.0,122391915.0,0.47
2026-05-29,40001,50000,2013.0,90837068.0,0.35
2026-05-29,50001,100000,3982.0,278468227.0,1.07
2026-05-29,100001,200000,1988.0,278282457.0,1.07
2026-05-29,200001,400000,1322.0,368855300.0,1.42
2026-05-29,400001,600000,562.0,275419975.0,1.06
2026-05-29,600001,800000,346.0,239654183.0,0.92
2026-05-29,800001,1000000,212.0,189594295.0,0.73
2026-05-29,1000001,1000000000000,1498.0,22151084908.0,85.41
2026-06-05,1,999,2160807.0,254859798.0,0.98
2026-06-05,1000,5000,421284.0,804949222.0,3.1
2026-06-05,5001,10000,49448.0,354829988.0,1.36
2026-06-05,10001,15000,16495.0,202611638.0,0.78
2026-06-05,15001,20000,7708.0,135675555.0,0.52
2026-06-05,20001,30000,7442.0,182365298.0,0.7
2026-06-05,30001,40000,3509.0,121627861.0,0.46
2026-06-05,40001,50000,2018.0,91019221.0,0.35
2026-06-05,50001,100000,3997.0,279407327.0,1.07
2026-06-05,100001,200000,2000.0,280035638.0,1.07
2026-06-05,200001,400000,1321.0,369636004.0,1.42
2026-06-05,400001,600000,563.0,276059662.0,1.06
2026-06-05,600001,800000,348.0,240919588.0,0.92
2026-06-05,800001,1000000,209.0,186766182.0,0.72
2026-06-05,1000001,1000000000000,1499.0,22151774520.0,85.42
2026-06-12,1,999,2314613.0,268316829.0,1.03
2026-06-12,1000,5000,434344.0,828890964.0,3.19
2026-06-12,5001,10000,50588.0,362776584.0,1.39
2026-06-12,10001,15000,16669.0,204608537.0,0.78
2026-06-12,15001,20000,7840.0,137971294.0,0.53
2026-06-12,20001,30000,7544.0,184834385.0,0.71
2026-06-12,30001,40000,3550.0,123080202.0,0.47
2026-06-12,40001,50000,2027.0,91419401.0,0.35
2026-06-12,50001,100000,4028.0,281832960.0,1.08
2026-06-12,100001,200000,1995.0,279252316.0,1.07
2026-06-12,200001,400000,1325.0,370746173.0,1.42
2026-06-12,400001,600000,554.0,270535362.0,1.04
2026-06-12,600001,800000,344.0,237383143.0,0.91
2026-06-12,800001,1000000,223.0,199071454.0,0.76
2026-06-12,1000001,1000000000000,1482.0,22091652463.0,85.18
2026-06-18,1,999,2306149.0,267183521.0,1.03
2026-06-18,1000,5000,431365.0,823536228.0,3.17
2026-06-18,5001,10000,50376.0,361320665.0,1.39
2026-06-18,10001,15000,16627.0,204063151.0,0.78
2026-06-18,15001,20000,7823.0,137653077.0,0.53
2026-06-18,20001,30000,7523.0,184336978.0,0.71
2026-06-18,30001,40000,3547.0,122993695.0,0.47
2026-06-18,40001,50000,2035.0,91839820.0,0.35
2026-06-18,50001,100000,4018.0,281135311.0,1.08
2026-06-18,100001,200000,1998.0,279647764.0,1.07
2026-06-18,200001,400000,1334.0,374361057.0,1.44
2026-06-18,400001,600000,548.0,268864579.0,1.03
2026-06-18,600001,800000,342.0,236381592.0,0.91
2026-06-18,800001,1000000,223.0,198941324.0,0.76
2026-06-18,1000001,1000000000000,1484.0,22100113305.0,85.22
2026-06-26,1,999,2344648.0,270636726.0,1.04
2026-06-26,1000,5000,436608.0,832879585.0,3.21
2026-06-26,5001,10000,50777.0,364018815.0,1.4
2026-06-26,10001,15000,16824.0,206436112.0,0.79
2026-06-26,15001,20000,7898.0,138937505.0,0.53
2026-06-26,20001,30000,7606.0,186372616.0,0.71
2026-06-26,30001,40000,3561.0,123533016.0,0.47
2026-06-26,40001,50000,2031.0,91648916.0,0.35
2026-06-26,50001,100000,4047.0,282842631.0,1.09
