snapshot_date,tier_min,tier_max,holders,shares,pct
2026-04-30,1,999,417709.0,99752654.0,0.71
2026-04-30,1000,5000,572565.0,1198601075.0,8.54
2026-04-30,5001,10000,90420.0,678230863.0,4.83
2026-04-30,10001,15000,30460.0,380641295.0,2.71
2026-04-30,15001,20000,15835.0,283758735.0,2.02
2026-04-30,20001,30000,14816.0,368315806.0,2.62
2026-04-30,30001,40000,6623.0,232596957.0,1.65
2026-04-30,40001,50000,3993.0,182113298.0,1.29
2026-04-30,50001,100000,6808.0,473379950.0,3.37
2026-04-30,100001,200000,2725.0,371024134.0,2.64
2026-04-30,200001,400000,999.0,274402648.0,1.95
2026-04-30,400001,600000,351.0,171745332.0,1.22
2026-04-30,600001,800000,153.0,106068704.0,0.75
2026-04-30,800001,1000000,112.0,101256420.0,0.72
2026-04-30,1000001,1000000000000,783.0,9106760755.0,64.91
2026-05-08,1,999,404489.0,95196865.0,0.67
2026-05-08,1000,5000,536932.0,1117749115.0,7.96
2026-05-08,5001,10000,84511.0,633793113.0,4.51
2026-05-08,10001,15000,28563.0,356858882.0,2.54
2026-05-08,15001,20000,14930.0,267405486.0,1.9
2026-05-08,20001,30000,14059.0,349572027.0,2.49
2026-05-08,30001,40000,6345.0,222759741.0,1.58
2026-05-08,40001,50000,3856.0,175819090.0,1.25
2026-05-08,50001,100000,6581.0,458587628.0,3.26
2026-05-08,100001,200000,2694.0,366769229.0,2.61
2026-05-08,200001,400000,981.0,269271108.0,1.91
2026-05-08,400001,600000,353.0,172350871.0,1.22
2026-05-08,600001,800000,159.0,110515080.0,0.78
2026-05-08,800001,1000000,110.0,99029893.0,0.7
2026-05-08,1000001,1000000000000,801.0,9332990398.0,66.52
2026-05-15,1,999,400322.0,93516191.0,0.66
2026-05-15,1000,5000,531386.0,1106625630.0,7.88
2026-05-15,5001,10000,83823.0,628388484.0,4.47
2026-05-15,10001,15000,28413.0,354898235.0,2.52
2026-05-15,15001,20000,14813.0,265224382.0,1.89
2026-05-15,20001,30000,13994.0,347944100.0,2.48
2026-05-15,30001,40000,6310.0,221425822.0,1.57
2026-05-15,40001,50000,3824.0,174334940.0,1.24
2026-05-15,50001,100000,6585.0,458385966.0,3.26
2026-05-15,100001,200000,2719.0,370191481.0,2.63
2026-05-15,200001,400000,980.0,269479291.0,1.92
2026-05-15,400001,600000,353.0,172162563.0,1.22
2026-05-15,600001,800000,155.0,107546767.0,0.76
2026-05-15,800001,1000000,111.0,99479993.0,0.7
2026-05-15,1000001,1000000000000,802.0,9359047781.0,66.71
2026-05-22,1,999,395445.0,92121846.0,0.65
2026-05-22,1000,5000,523470.0,1089619669.0,7.76
2026-05-22,5001,10000,82654.0,619689549.0,4.41
2026-05-22,10001,15000,28065.0,350560766.0,2.49
2026-05-22,15001,20000,14544.0,260359259.0,1.85
2026-05-22,20001,30000,13873.0,344899077.0,2.45
2026-05-22,30001,40000,6213.0,218141204.0,1.55
2026-05-22,40001,50000,3782.0,172405558.0,1.22
2026-05-22,50001,100000,6537.0,455374431.0,3.24
2026-05-22,100001,200000,2695.0,366860044.0,2.61
2026-05-22,200001,400000,986.0,270928701.0,1.93
