snapshot_date,tier_min,tier_max,holders,shares,pct
2026-06-12,200001,400000,197.0,55622015.0,2.56
2026-06-12,400001,600000,74.0,36066107.0,1.66
2026-06-12,600001,800000,48.0,33944740.0,1.56
2026-06-12,800001,1000000,37.0,33131989.0,1.53
2026-06-12,1000001,1000000000000,188.0,1472267838.0,68.0
2026-06-18,1,999,181203.0,41570429.0,1.92
2026-06-18,1000,5000,112056.0,206946017.0,9.55
2026-06-18,5001,10000,10334.0,78234305.0,3.61
2026-06-18,10001,15000,3056.0,38473563.0,1.77
2026-06-18,15001,20000,1709.0,30958109.0,1.42
2026-06-18,20001,30000,1426.0,35882149.0,1.65
2026-06-18,30001,40000,679.0,24169827.0,1.11
2026-06-18,40001,50000,407.0,18707137.0,0.86
2026-06-18,50001,100000,729.0,51672153.0,2.38
2026-06-18,100001,200000,309.0,44392554.0,2.05
2026-06-18,200001,400000,187.0,52931327.0,2.44
2026-06-18,400001,600000,76.0,37334731.0,1.72
2026-06-18,600001,800000,46.0,32287613.0,1.49
2026-06-18,800001,1000000,37.0,33074633.0,1.52
2026-06-18,1000001,1000000000000,181.0,1438410743.0,66.43
2026-06-26,1,999,184847.0,42543616.0,1.96
2026-06-26,1000,5000,117308.0,218320052.0,10.08
2026-06-26,5001,10000,10865.0,82188317.0,3.79
2026-06-26,10001,15000,3151.0,39723361.0,1.83
2026-06-26,15001,20000,1789.0,32419380.0,1.49
2026-06-26,20001,30000,1495.0,37501403.0,1.73
2026-06-26,30001,40000,698.0,24804457.0,1.14
2026-06-26,40001,50000,419.0,19241623.0,0.88
2026-06-26,50001,100000,734.0,51829397.0,2.39
2026-06-26,100001,200000,323.0,46550755.0,2.15
2026-06-26,200001,400000,193.0,54759397.0,2.52
2026-06-26,400001,600000,79.0,38938271.0,1.79
2026-06-26,600001,800000,44.0,30959673.0,1.42
2026-06-26,800001,1000000,37.0,33289419.0,1.53
2026-06-26,1000001,1000000000000,183.0,1411975875.0,65.21
2026-07-03,1,999,185765.0,42789350.0,1.97
2026-07-03,1000,5000,119278.0,222483270.0,10.27
2026-07-03,5001,10000,11073.0,83720919.0,3.86
2026-07-03,10001,15000,3236.0,40828111.0,1.88
2026-07-03,15001,20000,1849.0,33536960.0,1.54
2026-07-03,20001,30000,1543.0,38760101.0,1.79
2026-07-03,30001,40000,720.0,25582454.0,1.18
2026-07-03,40001,50000,434.0,19959003.0,0.92
2026-07-03,50001,100000,774.0,54197921.0,2.5
2026-07-03,100001,200000,329.0,46846229.0,2.16
2026-07-03,200001,400000,188.0,52974948.0,2.44
2026-07-03,400001,600000,85.0,41805805.0,1.93
2026-07-03,600001,800000,40.0,28153879.0,1.3
2026-07-03,800001,1000000,40.0,36105108.0,1.66
2026-07-03,1000001,1000000000000,179.0,1397303938.0,64.53
2026-07-09,1,999,184522.0,42439537.0,1.96
2026-07-09,1000,5000,115241.0,214629705.0,9.91
2026-07-09,5001,10000,10787.0,81522559.0,3.76
2026-07-09,10001,15000,3122.0,39476886.0,1.82
2026-07-09,15001,20000,1813.0,32899532.0,1.51
2026-07-09,20001,30000,1504.0,37782105.0,1.74
2026-07-09,30001,40000,696.0,24659196.0,1.13
2026-07-09,40001,50000,419.0,19211337.0,0.88
2026-07-09,50001,100000,749.0,52885509.0,2.44
2026-07-09,100001,200000,327.0,46694617.0,2.15
2026-07-09,200001,400000,187.0,53064428.0,2.45
2026-07-09,400001,600000,78.0,38452901.0,1.77
2026-07-09,600001,800000,40.0,28047002.0,1.29
2026-07-09,800001,1000000,44.0,40220592.0,1.85
2026-07-09,1000001,1000000000000,182.0,1413057090.0,65.26
2026-07-17,1,999,182314.0,41872557.0,1.93
2026-07-17,1000,5000,111975.0,208802000.0,9.64
2026-07-17,5001,10000,10514.0,79417524.0,3.66
2026-07-17,10001,15000,3096.0,39134081.0,1.8
2026-07-17,15001,20000,1782.0,32319541.0,1.49
2026-07-17,20001,30000,1485.0,37312311.0,1.72
2026-07-17,30001,40000,691.0,24500317.0,1.13
2026-07-17,40001,50000,418.0,19160179.0,0.88
2026-07-17,50001,100000,759.0,53248870.0,2.45
2026-07-17,100001,200000,341.0,48451921.0,2.23
2026-07-17,200001,400000,183.0,52119247.0,2.4
2026-07-17,400001,600000,81.0,39689983.0,1.83
2026-07-17,600001,800000,39.0,27660032.0,1.27
2026-07-17,800001,1000000,37.0,33650521.0,1.55
2026-07-17,1000001,1000000000000,188.0,1427703912.0,65.94
