date,v_intra,vwap_intra,v_after,vwap_after
2026-01-02,768397.0,1466.8000005205643,,
2026-01-05,1094630.0,1518.3208481404677,,
2026-01-06,543936.0,1493.3661864631133,,
2026-01-07,439525.0,1492.420419771344,6696.0,1490.0
2026-01-08,922471.0,1453.3426525061493,9244.0,1445.0
2026-01-09,589640.0,1430.9827437080253,9973.0,1425.0
2026-01-12,190953.0,1437.6695574303624,5929.0,1445.0
2026-01-13,747037.0,1474.6096311159956,8355.0,1485.0
2026-01-14,330342.0,1489.8873742969408,7106.0,1500.0
2026-01-15,255691.0,1476.5825742791103,3923.0,1490.0
2026-01-16,614611.0,1507.3973781790432,6235.0,1505.0
2026-01-19,271155.0,1482.146466043407,5790.0,1490.0
2026-01-20,242441.0,1485.161152610326,4268.0,1485.0
2026-01-21,384703.0,1469.9932025484595,5519.0,1470.0
2026-01-22,217151.0,1484.727010237116,4602.0,1485.0
2026-01-23,2205752.0,1622.472567178903,26189.0,1630.0
2026-01-26,911529.0,1759.5779015258977,16770.0,1770.0
2026-01-27,671835.0,1784.2514977635878,13065.0,1780.0
2026-01-28,372369.0,1782.6647357862764,8198.0,1790.0
2026-01-29,393952.0,1793.8334111769962,9415.0,1790.0
2026-01-30,565147.0,1752.407541754623,5850.0,1765.0
2026-02-02,981433.0,1703.6912912037806,11337.0,1715.0
2026-02-03,588918.0,1773.1785409853323,12015.0,1800.0
2026-02-04,515568.0,1779.4453495950097,7034.0,1805.0
2026-02-05,549269.0,1765.4482594138756,14947.0,1770.0
2026-02-06,1039720.0,1714.344477359289,5108.0,1735.0
2026-02-09,1181205.0,1809.3058105917264,11075.0,1830.0
2026-02-10,390640.0,1840.4847557853775,9438.0,1845.0
2026-02-11,497669.0,1838.9396365857629,15637.0,1855.0
2026-02-23,1164379.0,1825.2332745609465,13909.0,1805.0
2026-02-24,323635.0,1815.0211967185253,12003.0,1825.0
2026-02-25,479359.0,1851.9917222791269,8623.0,1870.0
2026-02-26,768990.0,1923.1333827488004,11370.0,1945.0
2026-03-02,618365.0,1914.8881243278647,10661.0,1915.0
2026-03-03,1426678.0,1846.5568123991536,44376.0,1815.0
2026-03-04,1300561.0,1735.9216099821538,12269.0,1730.0
2026-03-05,455352.0,1779.3581888297406,7693.0,1785.0
2026-03-06,251023.0,1768.694302912482,4206.0,1770.0
2026-03-09,1002965.0,1636.5696709257054,8137.0,1685.0
2026-03-10,347115.0,1706.808478458148,4491.0,1710.0
2026-03-11,326824.0,1763.350947298852,6121.0,1770.0
2026-03-12,256353.0,1775.003432766537,4849.0,1780.0
2026-03-13,769170.0,1734.1818453657838,4628.0,1740.0
2026-03-16,282687.0,1720.3667837573005,3319.0,1720.0
